"Decedati pe medii, sexe, virste, 1980-2023"

"Medii","Virste","2014 Barbati","2014 Femei","2015 Barbati","2015 Femei","2016 Barbati","2016 Femei","2017 Barbati","2017 Femei","2018 Barbati","2018 Femei","2019 Barbati","2019 Femei","2020 Barbati","2020 Femei","2021 Barbati","2021 Femei","2022 Barbati","2022 Femei","2023 Barbati","2023 Femei"
"Urban","Total",6888,6189,7040,6174,6778,6004,6536,5931,6773,6036,6482,5905,7938,7155,8990,8650,7042,6242,6466,5646
"Urban","0",76,47,83,59,76,56,69,35,66,49,50,43,47,33,45,38,46,39,50,29
"Urban","1",7,4,7,1,2,3,4,4,3,1,3,3,2,2,3,3,7,4,1,3
"Urban","2",3,4,1,3,2,5,-,1,2,3,3,1,5,-,1,1,2,-,-,-
"Urban","3",3,5,5,2,2,2,3,2,1,-,3,-,2,1,-,-,1,-,1,-
"Urban","4",1,2,1,3,2,1,4,1,3,-,2,3,2,1,-,2,2,-,-,2
"Urban","5",-,1,1,-,1,-,1,1,2,1,-,-,-,-,-,1,1,-,-,-
"Urban","6",3,1,-,1,1,1,-,2,2,1,5,-,3,2,-,-,3,1,-,-
"Urban","7",1,1,-,-,2,2,3,2,3,-,-,1,-,-,1,-,2,2,-,-
"Urban","8",1,-,-,-,1,1,-,1,1,2,1,-,-,-,3,-,-,2,1,1
"Urban","9",1,1,2,-,2,-,-,1,1,2,-,1,2,1,-,1,-,-,-,-
"Urban","10",2,1,1,1,-,-,1,-,1,-,2,-,1,1,1,1,4,1,1,3
"Urban","11",3,-,3,-,-,2,-,1,-,-,1,-,-,-,3,2,-,-,1,1
"Urban","12",-,1,3,2,1,2,-,1,4,-,-,3,3,-,3,1,-,1,2,2
"Urban","13",3,3,2,1,1,1,3,-,1,1,-,-,1,1,-,1,5,-,-,1
"Urban","14",2,1,1,1,1,3,2,1,-,3,3,3,1,2,2,2,3,-,4,1
"Urban","15",2,-,3,2,3,1,1,4,2,1,2,1,1,3,2,-,2,2,3,-
"Urban","16",2,-,2,2,4,1,2,-,5,2,-,2,3,1,2,-,5,-,3,-
"Urban","17",5,3,5,1,1,1,2,1,5,1,4,-,2,3,6,3,2,2,3,3
"Urban","18",3,2,4,1,6,3,3,1,3,-,4,-,3,4,3,1,1,2,4,-
"Urban","19",3,2,5,2,4,1,4,-,5,2,4,1,3,2,5,-,5,1,4,3
"Urban","20",2,3,4,5,4,3,4,1,8,2,3,4,3,1,7,1,2,2,2,2
"Urban","21",9,2,6,2,6,1,9,-,6,3,3,2,6,3,4,-,4,4,5,2
"Urban","22",9,5,6,4,6,3,5,-,5,-,6,3,3,1,1,2,3,-,6,2
"Urban","23",10,5,11,2,4,2,8,1,3,2,4,5,4,4,8,1,7,2,5,1
"Urban","24",9,7,8,3,9,3,7,-,4,1,3,4,5,2,7,3,8,1,8,5
"Urban","25",15,3,16,6,7,2,11,6,8,3,5,7,7,1,7,-,6,-,6,4
"Urban","26",17,5,18,4,10,5,12,1,11,4,12,3,7,3,4,3,6,2,2,3
"Urban","27",23,3,16,11,13,4,15,5,8,4,6,1,9,1,9,4,7,-,6,-
"Urban","28",18,3,25,7,25,6,18,3,13,7,8,5,7,8,8,6,5,2,4,3
"Urban","29",17,9,15,6,19,4,15,10,27,3,12,3,8,6,12,8,3,5,2,2
"Urban","30",30,7,18,4,12,10,23,4,21,9,15,6,8,8,15,11,10,9,9,5
"Urban","31",24,11,30,9,20,8,30,10,34,5,12,6,16,10,14,10,15,3,9,6
"Urban","32",21,6,24,14,22,9,24,7,21,6,29,10,18,8,21,10,14,9,13,4
"Urban","33",24,8,28,9,30,10,24,3,20,7,10,6,33,6,25,11,13,9,13,6
"Urban","34",30,7,27,9,32,7,26,9,41,5,23,13,24,18,22,9,20,3,19,7
"Urban","35",36,7,28,11,34,12,40,11,24,7,22,11,27,8,41,11,27,10,20,10
"Urban","36",33,11,40,10,35,9,26,9,44,11,38,7,40,10,41,11,24,13,34,7
"Urban","37",33,12,35,15,15,17,31,17,21,11,40,5,31,14,39,14,25,11,28,10
"Urban","38",44,19,32,17,33,25,28,6,35,10,34,12,35,19,38,15,33,19,35,13
"Urban","39",44,18,42,12,47,8,45,10,38,14,38,13,37,12,47,12,17,7,25,12
"Urban","40",44,21,41,20,42,14,31,8,38,9,40,16,40,17,48,12,44,21,39,15
"Urban","41",33,21,49,19,56,11,37,16,41,15,53,13,40,15,51,14,42,7,34,12
"Urban","42",52,14,55,16,52,17,28,19,44,18,41,19,49,17,48,20,42,21,45,12
"Urban","43",45,17,38,28,52,23,47,20,45,14,45,22,57,25,59,10,40,9,34,14
"Urban","44",46,24,50,17,47,24,40,25,46,20,58,18,69,18,51,20,54,13,43,19
"Urban","45",59,27,54,14,41,19,47,28,44,29,46,17,53,19,57,20,49,21,53,24
"Urban","46",50,26,63,16,44,18,50,19,53,21,56,20,56,25,56,27,53,19,48,29
"Urban","47",56,22,60,24,52,21,48,22,62,16,41,19,64,34,68,17,65,27,70,22
"Urban","48",74,32,70,43,67,22,47,30,51,24,47,16,52,28,74,40,44,23,51,20
"Urban","49",89,38,72,26,69,23,72,24,62,28,56,27,54,35,82,25,78,26,78,22
"Urban","50",80,36,98,34,75,31,69,25,50,30,54,32,52,45,75,35,63,27,65,19
"Urban","51",90,40,96,46,92,25,68,23,66,21,67,26,84,44,81,31,57,34,50,25
"Urban","52",107,59,100,56,87,39,79,29,70,26,79,34,84,34,87,50,58,27,65,28
"Urban","53",127,52,155,46,100,48,86,39,80,43,81,37,77,48,88,48,69,39,69,39
"Urban","54",147,68,137,71,121,59,99,50,94,39,94,38,88,63,103,50,73,37,72,34
"Urban","55",140,76,144,64,136,78,115,53,107,54,110,29,107,65,115,55,80,42,85,33
"Urban","56",160,75,144,83,153,80,112,64,130,49,115,55,123,70,119,61,107,37,92,32
"Urban","57",168,98,190,74,157,90,131,73,158,55,129,54,144,60,136,82,117,37,112,35
"Urban","58",191,86,180,89,156,75,151,71,148,80,147,72,183,82,152,89,126,49,92,49
"Urban","59",183,97,162,97,155,69,150,91,168,101,171,69,185,92,181,102,131,64,119,47
"Urban","60",217,91,181,102,192,87,150,81,182,69,179,77,207,91,181,139,150,71,137,64
"Urban","61",202,92,179,107,206,103,150,90,187,94,166,94,223,127,221,125,170,99,148,71
"Urban","62",195,108,205,114,217,119,199,114,196,105,162,81,218,121,230,154,179,109,178,70
"Urban","63",248,137,214,118,197,146,198,115,241,114,172,119,222,137,271,189,216,111,194,105
"Urban","64",241,154,241,139,220,141,206,125,195,105,180,110,255,155,284,193,216,98,197,130
"Urban","65",238,148,248,151,241,140,208,134,213,106,204,143,255,167,263,192,232,129,204,123
"Urban","66",174,99,260,174,235,166,258,122,222,150,215,131,233,167,301,216,225,128,192,121
"Urban","67",136,109,173,110,233,186,251,152,219,169,207,145,275,193,310,227,221,126,226,118
"Urban","68",105,64,144,106,136,110,260,164,256,189,225,187,264,199,299,259,200,153,241,156
"Urban","69",96,89,106,107,157,130,143,97,250,193,237,193,293,243,328,281,240,167,234,144
"Urban","70",113,105,94,87,129,80,142,119,160,120,224,197,352,241,337,323,242,189,215,147
"Urban","71",137,119,124,108,111,91,110,87,148,134,129,112,305,257,371,321,271,206,213,191
"Urban","72",220,166,137,130,123,111,102,84,110,98,154,124,200,187,373,343,259,241,255,176
"Urban","73",147,164,192,170,136,141,120,139,114,98,108,108,188,173,213,238,297,234,240,224
"Urban","74",162,164,173,147,185,177,120,124,101,103,105,107,147,152,218,250,148,150,249,255
"Urban","75",170,208,168,170,161,162,207,167,135,146,133,121,165,114,149,176,155,153,152,147
"Urban","76",163,216,157,198,146,190,161,163,190,204,123,144,147,169,178,169,119,124,150,157
"Urban","77",143,208,174,203,163,177,149,182,164,180,172,203,148,162,173,186,119,130,111,108
"Urban","78",145,219,151,183,153,198,149,200,143,183,149,166,223,220,196,207,144,142,85,116
"Urban","79",126,196,121,187,158,196,152,227,156,208,142,198,170,218,272,305,162,134,113,125
"Urban","80",100,180,132,201,135,198,132,237,157,242,131,223,163,220,201,286,169,242,123,140
"Urban","81",113,198,127,173,113,188,126,209,149,226,156,234,163,250,190,307,143,238,140,209
"Urban","82",95,180,97,196,99,165,142,201,119,233,137,254,161,254,170,272,150,223,110,207
"Urban","83",115,214,103,194,95,167,88,180,109,179,111,200,144,244,172,301,102,222,128,178
"Urban","84",91,203,103,197,86,177,92,183,84,171,118,157,118,223,161,291,132,232,111,180
"Urban","85",82,194,92,175,98,185,97,173,73,167,71,133,127,243,143,260,120,231,96,184
"Urban","86",93,176,87,187,88,173,79,156,71,188,85,154,100,146,130,237,104,188,81,204
"Urban","87",68,179,91,161,79,167,70,163,80,172,65,165,78,175,69,188,81,165,60,167
"Urban","88",58,137,55,169,60,154,71,172,55,165,57,143,55,160,73,184,68,131,54,151
"Urban","89",48,115,41,135,35,150,51,160,40,135,43,127,65,129,74,157,63,124,50,110
"Urban","90",31,94,32,100,37,99,36,117,55,119,51,116,56,108,55,145,45,105,24,102
"Urban","91",24,77,33,95,21,82,31,90,37,108,34,104,34,114,49,113,44,124,31,90
"Urban","92",18,87,21,85,21,59,24,77,21,85,27,77,26,101,38,106,32,96,23,64
"Urban","93",16,43,11,65,8,57,7,73,18,59,17,75,29,75,38,91,20,87,17,66
"Urban","94",5,31,13,39,11,33,15,53,11,48,12,49,20,50,19,66,22,55,10,51
"Urban","95",9,24,10,17,9,31,5,38,18,33,13,40,7,48,14,46,15,49,2,42
"Urban","96",3,6,4,19,7,14,4,23,7,29,4,23,6,28,12,39,4,32,6,30
"Urban","97",1,6,-,7,3,13,5,15,7,13,4,15,4,23,5,22,2,17,2,13
"Urban","98",2,7,-,5,1,6,4,9,2,8,2,10,1,12,4,12,4,12,1,12
"Urban","99",-,6,1,3,-,4,1,5,1,8,1,5,1,9,5,13,1,9,1,3
"Urban","100+",2,8,1,10,4,9,2,8,2,3,2,15,3,12,2,10,4,15,6,9
"Urban","Nedeclarata",26,9,28,5,20,2,9,2,16,2,15,5,17,2,17,4,20,3,11,3
"Rural","Total",13784,12661,13880,12706,13560,12070,12708,11604,13001,11453,12818,11206,13512,12112,14448,13376,12266,10646,11654,9967
"Rural","0",144,105,134,88,132,89,118,112,118,78,91,87,98,90,89,76,88,70,87,74
"Rural","1",14,10,12,7,14,8,3,7,6,7,9,4,9,6,8,5,4,5,7,1
"Rural","2",10,5,14,2,11,5,3,9,6,5,6,3,5,1,4,2,3,1,4,2
"Rural","3",4,3,2,1,5,10,5,4,9,7,-,3,4,4,4,1,3,-,1,2
"Rural","4",2,4,8,4,8,6,4,1,3,5,4,2,5,3,3,3,2,1,2,-
"Rural","5",2,3,5,2,6,5,2,2,3,2,4,1,-,2,2,2,2,2,3,2
"Rural","6",2,1,1,4,6,5,2,3,3,1,3,3,4,1,2,4,1,2,4,3
"Rural","7",4,-,2,5,4,3,5,4,4,2,-,1,2,2,6,2,4,-,2,3
"Rural","8",3,2,6,1,4,4,6,1,3,4,2,2,6,3,4,1,1,-,3,2
"Rural","9",6,4,1,1,6,5,1,2,6,1,9,5,5,3,1,1,3,2,1,-
"Rural","10",2,3,2,3,4,3,4,1,2,3,5,3,3,2,2,2,2,2,2,3
"Rural","11",3,4,3,3,4,-,4,4,6,4,4,1,-,3,2,-,3,1,2,-
"Rural","12",3,4,2,2,4,4,3,2,3,2,4,5,4,1,4,4,5,1,4,4
"Rural","13",5,2,3,3,5,2,4,2,6,4,4,3,2,-,2,6,2,4,4,1
"Rural","14",9,5,8,3,2,3,7,6,3,3,3,5,2,3,4,2,2,-,5,6
"Rural","15",11,5,7,6,10,3,9,2,3,3,7,3,7,2,12,2,5,1,6,3
"Rural","16",11,2,12,4,4,5,6,1,7,4,6,3,7,3,11,3,10,4,2,3
"Rural","17",14,7,7,1,10,2,10,3,11,5,8,2,5,2,7,2,13,4,3,3
"Rural","18",9,4,10,5,9,5,10,7,17,5,8,3,9,1,14,4,8,3,8,2
"Rural","19",23,1,12,-,13,5,5,4,12,3,14,10,10,5,15,8,3,4,6,4
"Rural","20",20,6,17,5,18,2,16,5,16,1,15,3,15,-,7,1,11,5,10,4
"Rural","21",23,8,17,2,18,6,17,2,12,3,15,4,10,2,15,3,7,3,10,1
"Rural","22",18,7,25,7,20,7,19,3,12,5,16,1,12,4,13,6,9,1,9,1
"Rural","23",22,6,17,5,29,7,21,4,13,7,17,8,14,10,9,4,10,4,10,5
"Rural","24",13,7,36,10,21,5,14,6,19,4,14,8,10,1,13,4,9,2,11,4
"Rural","25",22,4,22,2,26,8,20,8,20,6,12,7,17,8,15,1,13,4,12,5
"Rural","26",35,9,28,9,34,7,32,8,15,1,17,9,20,9,15,5,13,3,12,5
"Rural","27",35,12,29,10,36,3,24,9,14,5,17,7,22,7,15,10,18,7,14,3
"Rural","28",37,9,27,10,30,15,32,6,24,5,22,9,24,4,24,13,20,9,13,4
"Rural","29",38,14,25,17,33,9,34,6,27,11,23,5,26,11,24,10,28,7,17,7
"Rural","30",29,6,33,11,35,12,28,3,26,4,23,8,27,11,36,7,21,7,27,14
"Rural","31",37,15,40,11,42,17,37,14,32,10,34,13,36,15,28,8,31,8,19,5
"Rural","32",54,17,48,13,31,20,35,14,36,14,31,19,40,21,27,14,23,14,29,12
"Rural","33",34,14,51,17,33,16,39,11,44,15,46,12,44,14,36,20,40,7,26,9
"Rural","34",50,15,42,19,45,18,38,21,43,14,40,12,33,18,40,20,38,20,51,10
"Rural","35",56,16,57,24,52,20,39,8,35,10,32,15,33,13,46,11,43,17,38,13
"Rural","36",50,26,47,25,59,19,46,20,59,11,36,20,44,16,57,17,45,16,40,13
"Rural","37",67,20,57,22,45,18,47,18,55,22,53,18,48,21,47,26,47,11,36,14
"Rural","38",70,22,66,28,58,21,64,17,57,20,47,25,64,18,55,15,35,19,50,12
"Rural","39",82,28,60,31,91,19,61,24,72,17,67,33,54,18,55,25,63,17,62,21
"Rural","40",75,39,96,25,76,28,66,25,73,24,68,26,83,24,60,21,56,20,60,18
"Rural","41",71,30,80,20,85,28,59,34,66,28,91,21,77,33,59,39,47,21,64,17
"Rural","42",109,29,95,31,88,20,80,33,87,41,83,23,90,31,80,25,81,25,75,27
"Rural","43",82,42,115,45,99,38,103,37,93,30,84,31,85,34,81,31,60,34,72,21
"Rural","44",113,45,105,28,98,32,116,31,99,36,106,38,99,41,80,34,70,36,75,21
"Rural","45",110,31,128,56,113,48,100,36,106,39,107,31,121,56,99,43,99,32,87,33
"Rural","46",140,48,143,47,133,37,86,52,128,30,120,42,108,47,106,48,91,27,118,33
"Rural","47",138,66,153,42,115,40,106,30,125,40,119,36,119,45,132,54,105,37,103,35
"Rural","48",156,50,129,58,124,53,128,37,109,35,129,39,130,52,119,52,130,25,94,49
"Rural","49",161,60,193,63,148,62,129,57,129,54,143,37,109,50,142,46,121,37,121,42
"Rural","50",198,73,159,67,180,60,143,53,133,59,144,56,134,52,152,58,126,31,135,36
"Rural","51",218,82,217,76,192,57,153,57,155,50,145,58,150,64,153,55,131,38,135,36
"Rural","52",249,78,215,114,206,74,149,54,181,60,193,63,159,74,155,66,137,53,130,46
"Rural","53",261,110,239,97,209,88,196,87,197,70,189,72,182,73,195,61,148,50,159,54
"Rural","54",285,107,244,124,268,92,215,83,212,78,175,71,198,70,178,81,181,63,143,57
"Rural","55",275,137,294,126,290,119,224,98,231,96,223,91,222,68,215,84,185,66,172,68
"Rural","56",300,134,322,159,284,130,273,114,261,101,250,102,242,98,231,91,181,79,196,66
"Rural","57",311,146,327,172,336,162,318,119,285,113,275,121,250,121,250,111,191,83,196,78
"Rural","58",311,164,348,162,380,168,318,146,284,149,321,135,264,158,306,129,275,97,215,86
"Rural","59",301,162,330,178,327,187,340,137,285,170,333,171,324,165,331,163,254,107,250,95
"Rural","60",325,157,344,184,324,167,328,138,356,149,327,178,326,172,349,184,303,150,241,109
"Rural","61",310,186,335,194,333,191,324,135,380,164,369,177,357,189,387,201,320,143,282,128
"Rural","62",364,205,374,192,361,197,357,210,346,178,349,162,375,191,399,257,348,148,345,145
"Rural","63",431,236,445,223,390,184,371,190,394,196,352,196,413,244,434,243,417,189,379,159
"Rural","64",412,253,443,274,380,233,379,187,416,205,391,226,399,213,489,265,395,198,378,168
"Rural","65",485,278,441,301,403,281,377,212,379,205,365,234,451,201,438,267,367,209,385,178
"Rural","66",250,194,461,308,405,290,385,244,395,251,373,223,401,283,459,296,387,182,427,223
"Rural","67",218,178,237,179,463,322,377,275,389,283,394,269,398,273,470,287,428,239,359,234
"Rural","68",149,128,213,181,242,176,410,313,419,315,437,286,427,289,431,348,402,264,385,220
"Rural","69",174,156,153,130,238,197,227,198,395,324,416,294,434,314,450,389,350,218,364,215
"Rural","70",245,223,174,177,159,124,231,209,251,193,422,324,472,392,529,405,418,324,370,244
"Rural","71",277,288,253,240,188,166,143,131,220,193,211,174,510,395,497,451,456,354,407,302
"Rural","72",339,399,304,301,275,285,158,165,151,153,214,190,265,226,522,498,424,397,413,334
"Rural","73",329,382,392,426,274,306,219,236,189,183,139,140,261,254,295,292,377,402,376,373
"Rural","74",370,389,307,325,356,415,287,316,220,286,181,177,189,172,260,283,220,200,392,412
"Rural","75",318,410,311,347,293,372,338,434,279,341,238,257,158,210,196,190,238,246,212,219
"Rural","76",328,390,295,376,309,350,302,373,357,439,291,351,233,299,182,249,125,167,175,247
"Rural","77",295,457,335,388,301,402,267,382,292,414,375,436,313,347,278,349,157,224,129,186
"Rural","78",359,474,309,487,295,449,277,386,278,380,267,347,383,486,315,430,217,309,151,213
"Rural","79",346,493,331,466,289,457,285,398,287,360,260,371,298,428,428,621,244,335,202,329
"Rural","80",296,454,317,509,254,444,306,409,266,422,223,364,272,412,321,485,314,495,221,321
"Rural","81",305,437,284,462,298,458,302,470,295,420,263,449,265,406,284,466,254,363,281,465
"Rural","82",292,481,276,493,271,382,280,447,265,415,253,406,254,459,256,469,230,386,200,333
"Rural","83",299,492,290,464,244,443,221,400,249,412,224,408,250,423,277,459,203,393,198,354
"Rural","84",248,442,244,436,237,407,215,407,223,406,244,416,246,442,257,457,205,406,168,379
"Rural","85",247,467,220,426,214,391,234,427,202,387,207,364,195,445,242,446,185,380,179,330
"Rural","86",206,394,201,392,252,362,197,417,183,377,171,345,208,348,240,434,168,333,135,321
"Rural","87",128,341,169,365,166,337,156,356,170,328,171,315,143,321,167,364,143,318,142,305
"Rural","88",92,247,115,291,153,303,155,311,162,317,157,320,140,324,149,293,121,256,112,257
"Rural","89",80,231,69,245,114,208,112,260,124,249,115,266,142,282,155,305,104,246,85,209
"Rural","90",76,182,76,200,77,208,82,201,119,237,114,217,105,254,110,251,97,263,70,223
"Rural","91",78,169,76,167,62,150,52,169,78,148,74,210,91,198,83,224,94,173,64,175
"Rural","92",56,121,54,152,46,139,39,141,35,139,49,146,71,146,71,179,77,123,54,138
"Rural","93",46,98,36,94,39,100,51,111,40,105,31,98,49,91,50,134,56,103,36,102
"Rural","94",30,47,21,64,28,95,27,73,26,75,37,73,28,93,23,87,30,95,29,68
"Rural","95",23,42,19,47,24,48,23,70,23,63,16,50,24,53,12,61,11,48,21,49
"Rural","96",6,28,14,29,12,35,9,50,19,49,13,37,13,40,20,40,7,41,11,38
"Rural","97",5,11,5,18,8,22,15,18,11,24,8,26,9,35,6,23,8,32,10,32
"Rural","98",4,16,2,5,5,9,4,14,8,14,2,11,7,19,9,17,1,9,3,14
"Rural","99",-,6,3,8,4,5,7,4,-,7,3,10,5,12,4,19,-,17,1,7
"Rural","100+",6,11,4,25,4,16,2,13,7,11,5,14,5,16,7,16,8,19,9,11
"Rural","Nedeclarata",-,-,1,2,2,-,1,-,2,-,1,-,1,1,-,-,-,-,1,-
