"Populatia cu resedinta obisnuita pe virste, medii si sexe, la inceputul anului, 2014-2024"

"Ani","Virste","Urban Barbati","Urban Femei","Rural Barbati","Rural Femei"
"2014","Total",531732,605368,844054,888148
"2014","0",7320,6856,12164,11638
"2014","1",7494,7114,11855,11190
"2014","2",7068,6719,11529,10994
"2014","3",7466,7029,11882,11367
"2014","4",7458,6956,12132,11316
"2014","5",7113,6726,11149,10866
"2014","6",6790,6439,11359,10595
"2014","7",6385,6001,10818,10059
"2014","8",5946,5678,10753,10290
"2014","9",5800,5495,10826,10289
"2014","10",5156,4736,10572,10044
"2014","11",5216,4687,10839,10219
"2014","12",4919,4553,10596,10026
"2014","13",5022,4798,11757,10920
"2014","14",4893,4711,11472,10991
"2014","15",5418,5111,12207,11409
"2014","16",6608,6456,11928,11196
"2014","17",7235,7077,12733,12455
"2014","18",8080,7356,12797,12908
"2014","19",8435,8770,13844,13290
"2014","20",8310,9020,13988,13555
"2014","21",8937,9965,14272,13683
"2014","22",9209,9811,13675,13152
"2014","23",9752,10388,14419,13578
"2014","24",10253,10903,14797,13615
"2014","25",10681,11458,14734,13908
"2014","26",11104,11458,14605,13697
"2014","27",11416,11902,14673,13784
"2014","28",10908,11501,13740,12823
"2014","29",10790,10971,13054,12240
"2014","30",10798,11397,12825,12061
"2014","31",9792,10152,11645,11336
"2014","32",9529,9863,11173,10947
"2014","33",9416,10013,10990,10872
"2014","34",8864,9313,11021,10597
"2014","35",8400,8809,10694,10882
"2014","36",7844,8171,10402,10169
"2014","37",8100,8262,10944,10714
"2014","38",7986,8362,10850,10672
"2014","39",7659,8095,10777,10592
"2014","40",7223,7781,10681,10738
"2014","41",7285,8023,11098,10689
"2014","42",6889,7447,10531,10184
"2014","43",6809,7295,10354,9952
"2014","44",6149,7050,10314,9627
"2014","45",6355,7566,10677,10207
"2014","46",6269,7531,10811,10244
"2014","47",6127,7419,10842,10284
"2014","48",6243,7220,10430,10419
"2014","49",6700,7876,11389,11143
"2014","50",6786,8368,12081,12148
"2014","51",6973,8542,12351,12513
"2014","52",7433,9063,13175,13246
"2014","53",7824,9901,13629,13812
"2014","54",7536,9795,13734,14498
"2014","55",7606,9568,13151,13754
"2014","56",7151,9327,12696,13429
"2014","57",6852,9271,11810,12978
"2014","58",6692,8992,11188,12277
"2014","59",6799,9202,11264,12829
"2014","60",6205,8347,10135,11992
"2014","61",6269,8769,10179,11842
"2014","62",6617,8666,10691,12951
"2014","63",6566,8731,10144,13025
"2014","64",6353,8823,10457,13369
"2014","65",5031,7047,7569,9996
"2014","66",3296,4644,4705,6524
"2014","67",2888,4391,4127,5906
"2014","68",2115,3049,2498,3844
"2014","69",2256,3210,3690,5809
"2014","70",2349,3418,4322,6742
"2014","71",2806,4192,4769,7765
"2014","72",3140,4708,5452,8669
"2014","73",2241,3660,3817,6443
"2014","74",2167,3699,3517,6234
"2014","75",2048,3769,3550,6446
"2014","76",1917,3604,3463,6108
"2014","77",1658,3272,3185,5934
"2014","78",1463,2765,2959,5376
"2014","79",1181,2265,2700,5060
"2014","80",932,1794,2070,3975
"2014","81",903,1950,2259,4592
"2014","82",706,1521,1766,3192
"2014","83",756,1648,1740,3662
"2014","84",518,1277,1300,2546
"2014","85 si peste",2080,5830,4294,10236
"2015","Total",528417,601444,839930,876536
"2015","0",7897,7440,12816,12095
"2015","1",7271,6825,11850,11372
"2015","2",7439,7035,11534,10863
"2015","3",6997,6673,11196,10703
"2015","4",7375,6952,11531,11029
"2015","5",7355,6866,11792,11026
"2015","6",7039,6629,10860,10554
"2015","7",6708,6379,11069,10339
"2015","8",6330,5933,10583,9807
"2015","9",5887,5619,10518,10079
"2015","10",5718,5409,10595,10065
"2015","11",5063,4661,10340,9847
"2015","12",5133,4589,10647,10009
"2015","13",4826,4475,10409,9875
"2015","14",4932,4676,11601,10732
"2015","15",4796,4606,11311,10835
"2015","16",5236,4923,11875,11116
"2015","17",6483,6343,11689,10999
"2015","18",7102,6925,12452,12109
"2015","19",7660,6946,12278,12360
"2015","20",8131,8496,13306,12724
"2015","21",8069,8888,13817,13071
"2015","22",8708,9778,14068,13092
"2015","23",8982,9629,13507,12558
"2015","24",9566,10271,14233,12984
"2015","25",10058,10790,14640,13036
"2015","26",10544,11343,14485,13369
"2015","27",10986,11379,14329,13237
"2015","28",11371,11813,14548,13280
"2015","29",10876,11457,13630,12451
"2015","30",10749,10955,12860,11889
"2015","31",10712,11269,12686,11803
"2015","32",9751,10089,11630,11109
"2015","33",9494,9821,11190,10758
"2015","34",9396,9885,10973,10649
"2015","35",8804,9263,10930,10426
"2015","36",8381,8744,10677,10744
"2015","37",7734,8062,10419,10028
"2015","38",7988,8158,10898,10565
"2015","39",7930,8254,10935,10557
"2015","40",7598,7968,10834,10507
"2015","41",7147,7614,10714,10659
"2015","42",7173,7893,11144,10638
"2015","43",6772,7367,10626,10112
"2015","44",6725,7191,10453,9885
"2015","45",6075,7007,10370,9604
"2015","46",6304,7478,10751,10178
"2015","47",6197,7468,10806,10260
"2015","48",6072,7323,10858,10278
"2015","49",6156,7176,10409,10414
"2015","50",6636,7782,11391,11126
"2015","51",6689,8304,12023,12125
"2015","52",6867,8427,12333,12483
"2015","53",7314,8973,13078,13210
"2015","54",7664,9824,13544,13722
"2015","55",7424,9729,13647,14422
"2015","56",7433,9497,12964,13686
"2015","57",7006,9287,12525,13382
"2015","58",6667,9138,11618,12816
"2015","59",6490,8912,10979,12150
"2015","60",6605,9123,11030,12699
"2015","61",5997,8269,9896,11843
"2015","62",6099,8666,9937,11663
"2015","63",6351,8562,10319,12777
"2015","64",6319,8584,9797,12809
"2015","65",6100,8673,10000,13112
"2015","66",4789,6907,7229,9753
"2015","67",3121,4523,4517,6374
"2015","68",2758,4296,3959,5758
"2015","69",2012,2957,2380,3715
"2015","70",2134,3121,3487,5634
"2015","71",2225,3285,4025,6495
"2015","72",2615,4025,4501,7403
"2015","73",2925,4495,5078,8249
"2015","74",2083,3473,3477,6058
"2015","75",1985,3487,3194,5859
"2015","76",1875,3511,3225,6068
"2015","77",1755,3369,3146,5684
"2015","78",1503,3038,2874,5479
"2015","79",1308,2525,2607,4898
"2015","80",1055,2046,2368,4614
"2015","81",818,1613,1784,3553
"2015","82",778,1733,1943,4111
"2015","83",597,1308,1493,2782
"2015","84",644,1438,1450,3160
"2015","85 si peste",2080,5811,4440,10185
"2016","Total",524138,598691,835872,866927
"2016","0",7832,7196,12890,12227
"2016","1",7854,7417,12531,11850
"2016","2",7210,6808,11551,11140
"2016","3",7369,7008,11202,10604
"2016","4",6963,6635,10935,10445
"2016","5",7278,6890,11196,10754
"2016","6",7269,6761,11487,10721
"2016","7",6967,6580,10593,10328
"2016","8",6632,6332,10815,10134
"2016","9",6237,5883,10313,9618
"2016","10",5815,5541,10303,9863
"2016","11",5648,5300,10405,9825
"2016","12",4966,4570,10144,9645
"2016","13",5041,4505,10477,9843
"2016","14",4742,4401,10263,9745
"2016","15",4830,4554,11464,10556
"2016","16",4598,4402,10978,10576
"2016","17",5123,4770,11707,10939
"2016","18",6363,6222,11500,10740
"2016","19",6754,6514,12055,11580
"2016","20",7464,6813,11947,11959
"2016","21",7888,8408,13036,12304
"2016","22",7854,8755,13529,12585
"2016","23",8484,9674,13900,12594
"2016","24",8791,9526,13245,12107
"2016","25",9350,10169,14009,12471
"2016","26",9824,10707,14335,12622
"2016","27",10324,11290,14238,12941
"2016","28",10848,11373,14154,12795
"2016","29",11198,11733,14393,12898
"2016","30",10699,11433,13478,12114
"2016","31",10618,10919,12713,11617
"2016","32",10638,11178,12491,11521
"2016","33",9651,10055,11583,10895
"2016","34",9424,9712,11102,10571
"2016","35",9259,9844,10887,10570
"2016","36",8725,9203,10887,10332
"2016","37",8316,8718,10722,10636
"2016","38",7617,7978,10391,9951
"2016","39",7898,8065,10896,10538
"2016","40",7831,8149,10973,10531
"2016","41",7468,7864,10947,10471
"2016","42",6988,7509,10793,10645
"2016","43",7049,7816,11150,10610
"2016","44",6659,7305,10679,10126
"2016","45",6652,7156,10481,9891
"2016","46",5970,6947,10367,9572
"2016","47",6262,7451,10740,10192
"2016","48",6172,7386,10884,10306
"2016","49",5999,7250,10877,10254
"2016","50",6071,7138,10391,10405
"2016","51",6490,7759,11355,11114
"2016","52",6569,8236,12035,12103
"2016","53",6756,8408,12321,12464
"2016","54",7192,8919,13062,13194
"2016","55",7554,9751,13404,13641
"2016","56",7275,9667,13530,14365
"2016","57",7270,9467,12778,13591
"2016","58",6809,9222,12341,13258
"2016","59",6461,9061,11398,12709
"2016","60",6339,8819,10765,11997
"2016","61",6410,8988,10761,12571
"2016","62",5790,8157,9667,11709
"2016","63",5921,8572,9603,11474
"2016","64",6085,8434,9914,12517
"2016","65",6074,8432,9409,12533
"2016","66",5828,8507,9593,12819
"2016","67",4545,6726,6900,9511
"2016","68",2957,4398,4326,6184
"2016","69",2626,4186,3777,5594
"2016","70",1932,2867,2276,3595
"2016","71",2013,3021,3240,5418
"2016","72",2089,3162,3769,6228
"2016","73",2427,3839,4132,7036
"2016","74",2726,4316,4690,7835
"2016","75",1928,3306,3210,5756
"2016","76",1802,3290,2902,5488
"2016","77",1701,3284,2903,5682
"2016","78",1582,3153,2828,5219
"2016","79",1348,2832,2556,5031
"2016","80",1194,2328,2270,4401
"2016","81",913,1843,2075,4093
"2016","82",717,1429,1505,3114
"2016","83",659,1517,1666,3582
"2016","84",517,1139,1226,2354
"2016","85 si peste",2157,5843,4658,10590
"2017","Total",516918,594647,817597,851582
"2017","0",7798,7247,12354,11764
"2017","1",7776,7141,12494,11842
"2017","2",7816,7371,12154,11499
"2017","3",7162,6758,11172,10794
"2017","4",7337,6972,10852,10270
"2017","5",6920,6590,10598,10115
"2017","6",7216,6859,10834,10460
"2017","7",7202,6720,11173,10440
"2017","8",6940,6566,10325,10093
"2017","9",6619,6279,10607,9880
"2017","10",6209,5849,10089,9396
"2017","11",5755,5488,10052,9643
"2017","12",5605,5283,10215,9670
"2017","13",4941,4530,9994,9494
"2017","14",4970,4429,10316,9698
"2017","15",4687,4317,10147,9612
"2017","16",4652,4367,11160,10264
"2017","17",4498,4318,10809,10427
"2017","18",4930,4613,11329,10624
"2017","19",5892,5733,10856,10072
"2017","20",6493,6302,11335,10971
"2017","21",7218,6681,11289,11369
"2017","22",7536,8228,12320,11630
"2017","23",7596,8585,12798,11835
"2017","24",8156,9480,13160,11899
"2017","25",8412,9323,12476,11387
"2017","26",9002,10090,13295,11812
"2017","27",9534,10620,13524,11947
"2017","28",10022,11181,13504,12287
"2017","29",10592,11310,13511,12329
"2017","30",10862,11659,13748,12434
"2017","31",10420,11324,12754,11688
"2017","32",10337,10843,12143,11328
"2017","33",10420,11080,11987,11207
"2017","34",9497,9973,11109,10576
"2017","35",9244,9599,10728,10311
"2017","36",9066,9782,10525,10361
"2017","37",8564,9129,10599,10161
"2017","38",8092,8646,10372,10441
"2017","39",7427,7835,10097,9736
"2017","40",7713,7914,10581,10364
"2017","41",7603,7999,10687,10419
"2017","42",7224,7694,10660,10348
"2017","43",6756,7364,10529,10535
"2017","44",6879,7696,10944,10519
"2017","45",6481,7180,10458,10010
"2017","46",6520,7107,10362,9840
"2017","47",5827,6838,10177,9474
"2017","48",6075,7368,10553,10108
"2017","49",6033,7282,10742,10204
"2017","50",5913,7169,10729,10179
"2017","51",5914,7040,10243,10387
"2017","52",6394,7665,11204,11044
"2017","53",6444,8140,11905,12001
"2017","54",6613,8319,12134,12389
"2017","55",6992,8830,12820,13079
"2017","56",7400,9713,13216,13530
"2017","57",7098,9599,13233,14242
"2017","58",7091,9372,12481,13395
"2017","59",6657,9145,12009,13085
"2017","60",6272,9009,11117,12545
"2017","61",6149,8709,10454,11807
"2017","62",6190,8888,10429,12378
"2017","63",5569,7994,9306,11516
"2017","64",5678,8420,9202,11279
"2017","65",5813,8253,9505,12262
"2017","66",5819,8269,9064,12232
"2017","67",5582,8298,9104,12482
"2017","68",4337,6574,6551,9253
"2017","69",2803,4293,4087,5996
"2017","70",2461,4061,3568,5424
"2017","71",1829,2771,2148,3470
"2017","72",1883,2912,2997,5185
"2017","73",1943,3016,3463,5903
"2017","74",2281,3669,3839,6675
"2017","75",2528,4094,4316,7407
"2017","76",1778,3130,2931,5384
"2017","77",1631,3080,2606,5129
"2017","78",1527,3078,2618,5228
"2017","79",1408,2948,2523,4755
"2017","80",1213,2611,2286,4602
"2017","81",1063,2125,1989,3913
"2017","82",799,1655,1776,3667
"2017","83",626,1270,1265,2720
"2017","84",552,1334,1392,3113
"2017","85 si peste",2142,5652,4590,10339
"2018","Total",509764,590983,795131,833756
"2018","0",7207,6711,11211,10616
"2018","1",7751,7190,11944,11368
"2018","2",7769,7120,12147,11483
"2018","3",7748,7341,11725,11130
"2018","4",7110,6727,10782,10445
"2018","5",7313,6943,10500,9935
"2018","6",6894,6570,10265,9805
"2018","7",7172,6800,10484,10104
"2018","8",7167,6707,10874,10185
"2018","9",6888,6546,10007,9845
"2018","10",6593,6256,10359,9628
"2018","11",6170,5811,9841,9165
"2018","12",5718,5467,9825,9454
"2018","13",5530,5237,9964,9474
"2018","14",4897,4482,9827,9334
"2018","15",4881,4350,10082,9542
"2018","16",4545,4184,9800,9355
"2018","17",4597,4308,10977,10113
"2018","18",4284,4162,10425,10115
"2018","19",4392,4143,10570,9954
"2018","20",5540,5531,9897,9426
"2018","21",6168,6189,10614,10443
"2018","22",6927,6492,10542,10704
"2018","23",7222,8042,11496,10873
"2018","24",7310,8451,12002,11099
"2018","25",7886,9389,12317,11175
"2018","26",8077,9245,11494,10675
"2018","27",8714,10026,12488,11161
"2018","28",9247,10544,12692,11252
"2018","29",9777,11119,12737,11733
"2018","30",10301,11200,12773,11814
"2018","31",10688,11597,13090,11936
"2018","32",10200,11243,12096,11253
"2018","33",10196,10755,11584,10912
"2018","34",10187,10969,11392,10833
"2018","35",9319,9913,10646,10282
"2018","36",9065,9472,10222,9932
"2018","37",8918,9646,10099,10111
"2018","38",8373,8985,10176,9914
"2018","39",7878,8537,9982,10209
"2018","40",7269,7774,9756,9558
"2018","41",7510,7781,10250,10138
"2018","42",7442,7866,10326,10234
"2018","43",7027,7586,10323,10241
"2018","44",6619,7263,10298,10388
"2018","45",6744,7584,10687,10391
"2018","46",6287,7101,10159,9897
"2018","47",6382,7029,10094,9701
"2018","48",5669,6742,9937,9370
"2018","49",5948,7290,10375,9985
"2018","50",5889,7209,10545,10107
"2018","51",5808,7140,10586,10106
"2018","52",5810,7002,10097,10330
"2018","53",6248,7592,10980,10997
"2018","54",6265,8074,11656,11910
"2018","55",6471,8286,11943,12313
"2018","56",6828,8755,12612,12973
"2018","57",7299,9664,12959,13442
"2018","58",6932,9560,12955,14117
"2018","59",6924,9293,12192,13289
"2018","60",6491,9057,11677,12895
"2018","61",6124,8914,10870,12415
"2018","62",5966,8593,10120,11628
"2018","63",5957,8780,10030,12171
"2018","64",5353,7874,8913,11287
"2018","65",5467,8277,8840,11049
"2018","66",5561,8141,9117,12047
"2018","67",5563,8100,8675,11994
"2018","68",5310,8113,8697,12143
"2018","69",4130,6457,6233,8983
"2018","70",2669,4187,3890,5791
"2018","71",2313,3919,3353,5248
"2018","72",1735,2689,2030,3351
"2018","73",1761,2807,2794,4929
"2018","74",1826,2859,3194,5614
"2018","75",2114,3519,3528,6291
"2018","76",2313,3896,3963,6955
"2018","77",1654,2956,2668,5014
"2018","78",1468,2895,2338,4757
"2018","79",1361,2862,2345,4804
"2018","80",1268,2695,2229,4354
"2018","81",1073,2381,1976,4142
"2018","82",924,1916,1691,3467
"2018","83",692,1463,1506,3211
"2018","84",540,1099,1078,2368
"2018","85 si peste",2141,5543,4698,10574
"2019","Total",506396,588247,775668,814461
"2019","0",6767,6250,10266,9800
"2019","1",6964,6473,10453,9892
"2019","2",7674,7130,11429,10906
"2019","3",7721,7057,11680,11011
"2019","4",7708,7295,11277,10696
"2019","5",7063,6657,10331,9990
"2019","6",7246,6894,10045,9531
"2019","7",6825,6531,9826,9425
"2019","8",7106,6782,10072,9775
"2019","9",7090,6655,10487,9832
"2019","10",6832,6485,9649,9497
"2019","11",6519,6191,10003,9302
"2019","12",6130,5755,9557,8865
"2019","13",5657,5404,9563,9190
"2019","14",5445,5179,9703,9249
"2019","15",4846,4404,9638,9139
"2019","16",4762,4201,9764,9237
"2019","17",4471,4130,9635,9214
"2019","18",4489,4203,10632,9863
"2019","19",3852,3759,9764,9528
"2019","20",4193,4034,9928,9399
"2019","21",5434,5477,9423,8916
"2019","22",5995,6034,10063,9753
"2019","23",6751,6362,9983,10007
"2019","24",7039,7928,10779,10114
"2019","25",7085,8368,11326,10428
"2019","26",7754,9390,11656,10463
"2019","27",8006,9292,10894,10071
"2019","28",8651,10053,11912,10523
"2019","29",9163,10551,12089,10640
"2019","30",9720,11118,12181,11158
"2019","31",10255,11200,12228,11256
"2019","32",10641,11574,12677,11528
